Q1000070	b'Myron V. George'
Q17892	b'Sappho'
Q178953	b'Vercingetorix'
Q178963	b'Fereydoun Farrokhzad'
Q1789647	b'Kurt Martti Wallenius'
Q178987	b'Tibor Szamuely'
Q178991	b'Pierre Claude Fran\xc3\xa7ois Daunou'
Q179041	b'Lisa Kudrow'
Q1790472	b'Robert Benchley'
Q179051	b'Kareem Abdul-Jabbar'
Q17905	b'Martin Schulz'
Q1790739	b'Simon Stefani'
Q1790828	b'Georg Stang'
Q1790851	b'Otto Jensen'
Q179090	b'Aaron Burr'
Q1791077	b'Frei Caneca'
Q1791375	b'Jos\xc3\xa9 Pl\xc3\xa1cido de Castro'
Q1791448	b'Kuldip Nayar'
Q179144	b'Justas Vincas Paleckis'
Q179150	b'Sonny Bono'
Q1791677	b'Sir David Baird, 1st Baronet'
Q1792467	b'Adolf Bredo Stabell'
Q1792490	b'Joralf Gjerstad'
Q1792689	b'Poul Christian Holst'
Q179269	b'Katherine Helmond'
Q1792980	b'William E. Dodge'
Q1793251	b'Nicolai Johan Lohmann Krog'
Q179414	b'Kate Beckinsale'
Q1794781	b'Knut Liest\xc3\xb8l'
Q179497	b'Oliver Stone'
Q179552	b'Themistocles'
Q1795535	b'K\xc3\xa4the Leichter'
Q179558	b'Alexandra Kollontai'
Q179576	b'Gael Garc\xc3\xada Bernal'
Q179577	b'Atahualpa'
Q179586	b'Louis-Lucien Klotz'
Q1796318	b'Sam Hughes'
Q179682	b'Bj\xc3\xb6rn Ulvaeus'
Q179695	b'Ismail Kadare'
Q1797202	b'Frederik Motzfeldt'
Q1797422	b'Regina Cas\xc3\xa9'
Q1797489	b'Kate Ritchie'
Q1797623	b'Hans Kristian Amundsen'
Q1797916	b'Bernhard Getz'
Q179825	b'Emir Abdelkader'
Q1798291	b'Sylvi Graham'
Q17985434	b'Aneesa Ahmed'
Q1798588	b'Olivia Cole'
Q179858	b'Urho Kekkonen'
Q17986471	b'Christopher Romulo'
Q17986665	b'Cornelia De Bey'
Q179871	b'Eisaku Sat\xc5\x8d'
Q1798732	b'Les AuCoin'
Q179888	b'Aristide Briand'
Q1798939	b'Legrand W. Perce'
Q1799078	b'Erik R\xc3\xb8ring M\xc3\xb8inichen'
Q179910	b'V\xc3\xb5 Nguy\xc3\xaan Gi\xc3\xa1p'
Q179925	b'Henri-Gustave Joly de Lotbini\xc3\xa8re'
Q1799370	b'Laban Wheaton'
Q1799576	b'Margaretha Krook'
Q1799741	b'Samuel G. Hilborn'
Q1799837	b'Ingalill Olsen'
Q1799965	b'Henrik Laurentius Helliesen'
Q1799966	b'Walter P. Brownlow'
Q1800032	b'Jens Holmboe'
Q1800036	b'Baard Madsen Haugland'
Q1800081	b'Ole Andreas Furu'
Q180011	b'Brenda Song'
Q1800169	b'Lafe Pence'
Q1800171	b'Peter \xc5\xbdiga'
Q180110	b'Stewart Rome'
Q1801806	b'Lance Sharkey'
Q1801830	b'Rut Tellefsen'
Q180193	b'Francis Coquelin'
Q180224	b'Lenny Kravitz'
Q1802968	b'Marina Endicott'
Q180326	b'Lilian Thuram'
Q180332	b'Torkel Halvorsen Aschehoug'
Q180338	b'Christopher Lee'
Q1803666	b'Oleksandr Zinchenko'
Q1803720	b'Peter Asher'
Q180383	b'Helen Clark'
Q18044353	b'Kanwalpreet Singh'
Q180444	b'Eduardo da Silva'
Q180446	b'Li Na'
Q180453	b'Dolly Parton'
Q180468	b'Albert Szent-Gy\xc3\xb6rgyi'
Q1804870	b'Nicole LeFavour'
Q180553	b'Alexis S\xc3\xa1nchez'
Q180560	b'Philip Seymour Hoffman'
Q180581	b'Milan Baro\xc5\xa1'
Q180588	b'Georgy Malenkov'
Q180589	b'Boris Johnson'
Q1806078	b'Larry Kissell'
Q1806098	b'Larry Pennell'
Q1806230	b'Lars Hanson'
Q180642	b'Garrincha'
Q180665	b'Sarah Michelle Gellar'
Q1806800	b'Randolph Strickland'
Q1806966	b'Latimer Whipple Ballou'
Q1806985	b'Sharon Osbourne'
Q1807063	b'Ernst Motzfeldt'
Q1807081	b'Harriet Bosse'
Q180710	b'Anna Nicole Smith'
Q1807154	b'Erik Palmstierna'
Q1807945	b'Lauren Newton'
Q180795	b'Mohammad Khatami'
Q1808100	b'Alberto C\xc3\xa1rdenas'
Q18085851	b'A. K. A. Firoze Noon'
Q180861	b'Roger Waters'
Q18086585	b'Shweta Chaudhary'
Q1808753	b'Carl Valentin Falsen'
Q180879	b'Geraldo Alves (footballer, born 1980)'
Q1808806	b'Hans Hein Theodor Nysom'
Q180914	b'John Wilkes Booth'
Q1809184	b'Lawrence Grant'
Q180919	b'Natalie Wood'
Q1809201	b'Lawrence J. Flaherty'
Q1809218	b'Folkert Posthuma'
Q180939	b'Peter Crouch'
Q180942	b'Shia LaBeouf'
Q1809560	b'Hans Rasmus Astrup'
Q18097563	b'Deepak Bhanushali'
Q180975	b'Andrew Lloyd Webber'
Q180989	b'Jane Addams'
Q180993	b'Antonio Cassano'
Q18111	b'Li Keqiang'
Q1811651	b'Georgi Traykov'
Q1811712	b'Lee Batchelor'
Q1811793	b'Lee E. Geyer'
Q181229	b'Jennifer Beals'
Q181243	b'Agyness Deyn'
Q1812635	b'Edvard Drabl\xc3\xb8s'
Q181302	b'Christie Pearce'
Q1813369	b'Micha\xc5\x82 Rola-\xc5\xbbymierski'
Q1813692	b'Mathias Cormann'
Q181383	b'Mahathir Mohamad'
Q181413	b'Julie Christie'
Q1814210	b'Carl Adolph Dahl'
Q181490	b'Teri Hatcher'
Q1815166	b'Tiina Sanila'
Q1815251	b'Paul Ulenbelt'
Q1815982	b'Ki Hajar Dewantara'
Q18164278	b'Angela Rayner'
Q181662	b'Bernard Baruch'
Q181667	b'Washington Irving'
Q181678	b'Dolph Lundgren'
Q181727	b'William Gannaway Brownlow'
Q181774	b'Ray Milland'
Q1817761	b'Samding Dorje Phagmo'
Q181786	b'Ronald Colman'
Q181819	b'Fredric March'
Q1818265	b'Max Rood'
Q181832	b'Moshe Katsav'
Q181875	b'Robert Peel'
Q181887	b'Rex Harrison'
Q1818913	b'Leon Petrazycki'
Q181900	b'Stan Lee'
Q1819045	b'Leonard W. Hall'
Q181917	b'David Niven'
Q181921	b'Branislav Ivanovi\xc4\x87'
Q1819430	b'Leonidas C. Dyer'
Q181953	b'William W. Stickney'
Q181958	b'Elisabeth G\xc3\xb6rgl'
Q18199704	b'Konstantinos Tsiaras'
Q181	b'Jimmy Wales'
Q182036	b'Tjaronn Chery'
Q182043	b'Matti Vanhanen'
Q1820456	b'Les Aspin'
Q182057	b'Paul Lukas'
Q182063	b'Nicol\xc3\xa1s Otamendi'
Q1820715	b'Carel de Vos van Steenwijk'
Q1820783	b'Leslie Frost'
Q18208496	b'Isaac Mitchell'
Q1820964	b'Lester Petrie'
Q1822088	b'Lewis D. Campbell'
Q1822160	b'Lewis Strauss'
Q18222	b'A. J. Cook'
Q182276	b'Benito Ju\xc3\xa1rez'
Q18227	b'Forrest J Ackerman'
Q182292	b'Paul Muni'
Q18234082	b'Ronald Torreyes'
Q182349	b'Broderick Crawford'
Q1823663	b'Sophia Perovskaya'
Q182367	b'Jos\xc3\xa9 S\xc3\xb3crates'
Q182372	b'Louise Fletcher'
Q182397	b'Lars L\xc3\xb8kke Rasmussen'
Q182431	b'Art Carney'
Q1824411	b'Lieve Geelvinck'
Q182451	b'Alberto Gilardino'
Q182452	b'Gennady Zyuganov'
Q182455	b'Wilt Chamberlain'
Q182486	b'Greer Garson'
Q182509	b'Johan Rudolph Thorbecke'
Q182551	b'Dave Camp'
Q1825711	b'Lincoln Clark'
Q182580	b'Shirley Temple'
Q1825813	b'Lincoln Steffens'
Q1826240	b'Lindley H. Hadley'
Q182637	b'Jane Seymour'
Q182642	b'John Glenn'
Q182654	b'Valentina Matviyenko'
Q182665	b'Iggy Pop'
Q1826849	b'Jos\xc3\xa9 Mar\xc3\xada Pino Su\xc3\xa1rez'
Q182685	b'Maarten Stekelenburg'
Q1827008	b'Vintil\xc4\x83 Br\xc4\x83tianu'
Q1827299	b'Fayza Ahmed'
Q1827410	b'Leila Mourad'
Q182747	b'Asafa Powell'
Q182763	b'Forest Whitaker'
Q182781	b'Muhammad Ali of Egypt'
Q182788	b'Newt Gingrich'
Q182840	b'Louis the Stammerer'
Q18286692	b'Pedro Nolasco Vergara Albano'
Q182904	b'Margaret Bondfield'
Q182905	b'Georgi Plekhanov'
Q182921	b'Reza Shah'
Q183008	b'Elena Paparizou'
Q18301	b'Li Peng'
Q183031	b'Garrison Keillor'
Q183085	b'Isabella II of Spain'
Q1830	b'Decius'
Q183108	b'Fabio Capello'
Q183279	b'Zhores Alferov'
Q183297	b'\xc4\xb0smet \xc4\xb0n\xc3\xb6n\xc3\xbc'
Q183337	b'David Attenborough'
Q1834123	b'A. J. Mundella'
Q183439	b'Nina Dobrev'
Q183535	b'Veniamin Smekhov'
Q18355631	b'Florence Nagle'
Q18356349	b'Frederick Samuel Wallis'
Q18356690	b'Olaf Tveitmoe'
Q183579	b'Ferdinand I of Austria'
Q1835	b'Zinedine Zidane'
Q183698	b'Ivan V of Russia'
Q183703	b'Franjo Tu\xc4\x91man'
Q1837586	b'Sir Henry Erskine, 5th Baronet'
Q1837775	b'Jackie Collins'
Q18377901	b'James Phillips Wilson'
Q18378980	b'Brianna Wu'
Q183848	b'Alija Izetbegovi\xc4\x87'
Q18391	b'Elie Wiesel'
Q1839	b'Laurent Blanc'
Q184103	b'Christina Ricci'
Q184169	b'Louis Althusser'
Q184176	b'Seleucus I Nicator'
Q184177	b'Thomas Vermaelen'
Q184205	b'Daniel Agger'
Q184218	b'Ryan Babel'
Q184219	b'Michelle Rodriguez'
Q184249	b'Kelly Rowland'
Q184261	b'Yuri Zhirkov'
Q184267	b'Andrei Gromyko'
Q184269	b'Darijo Srna'
Q18434	b'L\xc3\xa9on Blum'
Q184351	b'Yitzhak Shamir'
Q184362	b'Claude Mak\xc3\xa9l\xc3\xa9l\xc3\xa9'
Q18437771	b'Park Yeon-mi'
Q184378	b'Rock Hudson'
Q1845004	b'John Fletcher Moulton, Baron Moulton'
Q184565	b'Charles G. Dawes'
Q184572	b'Martin Sheen'
Q184586	b'Gareth Bale'
Q184612	b'Robbie Keane'
Q184623	b'Georges Danton'
Q184650	b'Donald Rumsfeld'
Q184697	b'Gloria Estefan'
Q184750	b'Slavoj \xc5\xbdi\xc5\xbeek'
Q184805	b'Tom Waits'
Q1848246	b'Rafael Farga i Pellicer'
Q1848300	b'Catherine Leclerc du Rose'
Q184885	b'Kareena Kapoor'
Q1849141	b'Arend Jan Boekestijn'
Q184935	b'Mihai Eminescu'
Q184945	b'Hastings Banda'
Q184946	b'Joe Cole'
Q1849894	b'Sherman Minton'
Q185081	b'Marco Materazzi'
Q185093	b'Jes\xc3\xbas Navas'
Q1850986	b'Manuel Palafox'
Q1851119	b'Valentin Christian Wilhelm Sibbern'
Q185115	b'Edgar Davids'
Q185122	b'Carmen Electra'
Q185140	b'Joaquin Phoenix'
Q185165	b'Olivia Newton-John'
Q185208	b'Glen Johnson'
Q1852090	b'Tobias Menzies'
Q1852204	b'Tom Mann'
Q185225	b'Santi Cazorla'
Q185267	b'Henry M. Goldfogle'
Q185272	b'Brian Cowen'
Q18528180	b'Edward Harford'
Q18528362	b'Edward Saker'
Q18530655	b'Pippa Strachey'
Q185389	b'Dennis Bergkamp'
Q185465	b'Paula Abdul'
Q185473	b'Robert Giaimo'
Q1855372	b'Tamim bin Hamad Al Thani'
Q185554	b'Matthew Fox'
Q185572	b'Mikel Arteta'
Q1855840	b'Xavier Becerra'
Q1855856	b'Olof Aschberg'
Q1855866	b'Tom Allen'
Q1856022	b'Raymond Mays'
Q185610	b'Will.i.am'
Q18564709	b'Catherine Marshall (suffragist)'
Q185650	b'Nigel de Jong'
Q185654	b'Gal Gadot'
Q1856805	b'Ricardo Pati\xc3\xb1o'
Q1857141	b'Steve Scalise'
Q185718	b'Alexander Kolchak'
Q185723	b'Phoebe Tonkin'
Q1858202	b'Tan Zhenlin'
Q1859442	b'Miroslav Naydenov'
Q186071	b'Javier Saviola'
Q1860809	b'Pierre Louis de Lacretelle'
Q186111	b'Akbar Hashemi Rafsanjani'
Q186185	b'Kliment Voroshilov'
Q186245	b'Luther Martin Kennett'
Q1862731	b'Sydney Emanuel Mudd I'
Q1862746	b'Eli Jones Henkle'
Q1862750	b'Barnes Compton'
Q1862857	b'Frans-Jozef van Thiel'
Q186292	b'Joey Bishop'
Q1863022	b'Hans de Boer'
Q186327	b'Marilyn Manson'
Q18642208	b'Anastassia Kovalenko'
Q186478	b'Luca Toni'
Q1864949	b'Lister Cars'
Q186500	b'Chang Myon'
Q186525	b'Julius Nyerere'
Q186606	b'Manisha Koirala'
Q186630	b'Ernesto Sabato'
Q1866951	b'Lloyd Thurston'
Q186709	b'Nikolai Bukharin'
Q18674355	b'Rachel Barrett'
Q186757	b'Seth Green'
Q18686747	b'Hicham Jadrane'
Q1868959	b'Abraham George Ellis'
Q186985	b'Robert Brooke-Popham'
Q1870097	b'Pierre-Th\xc3\xa9odore Verhaegen'
Q1870154	b'Ron Dellums'
Q1870207	b'Lorenzo De Medici Sweat'
Q187033	b'Sally Field'
Q187038	b'David Carradine'
Q187058	b'Abhishek Bachchan'
Q18712	b'Gy\xc3\xb6rgy Klapka'
Q1871425	b'Louis-Jos\xc3\xa9 Houde'
Q1871439	b'Louis-Philippe Brodeur'
Q187149	b'Umberto II of Italy'
Q1871506	b'Louis B. Goodall'
Q1871565	b'Louis C. Latham'
Q18716182	b'Ern Klauer'
Q18716238	b'Bartholomew James Stubbs'
Q18716239	b'Alfred William Styles'
Q187184	b'Joe Hart'
Q18719382	b'Neil Durden-Smith'
Q187198	b'Kenny Dalglish'
Q18719968	b'Jos\xc3\xa9 C. Vales'
Q18720292	b'Len Tuckey'
Q1872037	b'Louis Waldman'
Q1872169	b'Louise McKinney'
Q187238	b'Tim Cahill'
Q187271	b'Loene Carmen'
Q187336	b'Giuseppe Mazzini'
Q18734127	b'Ralph Hart Tweddell'
Q18734	b'Amenemhat II'
Q187364	b'Robert Zemeckis'
Q18737252	b'V\xc4\x9bra Waldes'
Q187413	b'\xc3\x81lvaro Uribe'
Q187450	b'Philippe Senderos'
Q187516	b'Zell Miller'
Q18753	b'Roberto Trashorras'
Q1875503	b'Ludwik Wary\xc5\x84ski'
Q187562	b'Ruth Deech, Baroness Deech'
Q187568	b'Willy Meyer Pleite'
Q18758217	b'Johann Lengoualama'
Q1877439	b'Raoul Dautry'
Q1877853	b'Luther Standing Bear'
Q1878254	b'Luud Schimmelpennink'
Q187832	b'Mandy Moore'
Q187891	b'Fernando Llorente'
Q187930	b'Bayard Rustin'
Q1879572	b'Carel Goseling'
Q18797	b'Wladimir Klitschko'
Q187982	b'Alcibiades'
Q188018	b'Nick Nolte'
Q18806	b'Franz Mehring'
Q18809	b'Anatoly Lunacharsky'
Q1881179	b'Manja Smits'
Q188137	b'J. J. Abrams'
Q1881647	b'MNDR'
Q188167	b'Charles H. Schneer'
Q18818379	b'Naomasa Yokawa'
Q1882350	b'Mabel Howard'
Q188271	b'Vincas Mickevi\xc4\x8dius-Kapsukas'
Q1883386	b'Madison Roswell Smith'
Q188375	b'Lucy Liu'
Q188401	b'Emily Osment'
Q188424	b'George W. Dunlap'
Q188457	b'Danny Welbeck'
Q188459	b'Goldie Hawn'
Q188461	b'Dannii Minogue'
Q188472	b'Artaxerxes II of Persia'
Q188492	b'Seth MacFarlane'
Q1884960	b'Mahmoud Afshartous'
Q188500	b'Elisha Cuthbert'
Q188502	b'Sebastian Coe'
Q188541	b'Chandragupta Maurya'
Q188570	b'Felix Dzerzhinsky'
Q188634	b'Matthias Corvinus'
Q188648	b'Raven-Symon\xc3\xa9'
Q188671	b'Preity Zinta'
Q1886758	b'Mark Souder'
Q188692	b'Rudolph Valentino'
Q188697	b'Alphonse de Lamartine'
Q1886985	b'Malcolm Baldrige Jr.'
Q188720	b'Michael Laudrup'
Q188744	b'Freida Pinto'
Q188746	b'Jermain Defoe'
Q188772	b'Willem Dafoe'
Q188783	b'Moshe Dayan'
Q188891	b'Bernardino Rivadavia'
Q188921	b'Igor Denisov'
Q188939	b'Emilio Aguinaldo'
Q188955	b'Matthew McConaughey'
Q188965	b'Madame de Pompadour'
Q188978	b'Kostas Karamanlis'
Q188997	b'Wojciech Szcz\xc4\x99sny'
Q188999	b'Austen Chamberlain'
Q189012	b'Alex Song'
Q189067	b'Alyssa Milano'
Q189078	b'Xzibit'
Q18912649	b'Julia Stephen'
Q189132	b'Sophie Monk'
Q1891397	b'Monty Williams'
Q189144	b'Walter Raleigh'
Q189145	b'Antonio L\xc3\xb3pez de Santa Anna'
Q1891493	b'Manuel Eduardo de Gorostiza'
Q189164	b'Feodor Chaliapin'
Q189197	b'Joseph McCarthy'
Q18921369	b'Rajith Kumar'
Q1892159	b'Maquinna'
Q1892616	b'Marc Hannibal'
Q1892814	b'Tom Mulcair'
Q1893008	b'Marcel Dalio'
Q189307	b'Reinhold Messner'
Q189351	b'Sean Astin'
Q1894073	b'Marcus A. Smith'
Q189407	b'Gloria Stuart'
Q189415	b'Andy Garc\xc3\xada'
Q1894190	b'Marcus Gj\xc3\xb8e Rosenkrantz'
Q1894216	b'Marcus Junius Parrott'
Q189449	b'Yossi Benayoun'
Q1894613	b'Marek Ma\xc4\x8fari\xc4\x8d'
Q1894622	b'Marek Perepeczko'
Q18947	b'Laurie Holden'
Q189490	b'Jennifer Lawrence'
Q1894	b'Memphis Depay'
Q1895619	b'E. S. L. Narasimhan'
Q189575	b'Ion Iliescu'
Q189582	b'Narmer'
Q189587	b'Bobby Robson'
Q1895886	b'Gerardus Huysmans'
Q189599	b'Keith Richards'
Q1896096	b'Janaki Ballabh Patnaik'
Q1896776	b'Paul Hellyer'
Q189694	b'Wesley Snipes'
Q1897097	b'Paul Devaux'
Q18976	b'Ole Gunnar Solskj\xc3\xa6r'
Q18977963	b'Ethan Gutmann'
Q18978140	b'Pramila Jayapal'
Q1897911	b'Meek Mill'
Q1897	b'Cagliari'
Q1898174	b'Marilyn Nash'
Q18982	b'Tom Ince'
Q189869	b'Benito P\xc3\xa9rez Gald\xc3\xb3s'
Q189895	b'Jennifer Jones'
Q1899045	b'Mario Silva (politician)'
Q1899136	b'Harm van der Meulen'
Q189937	b'John Knox'
Q189947	b'Nick Clegg'
Q18994	b'Luise Rainer'
Q189992	b'Ashley Greene'
Q1900085	b'Mark H. Dunnell'
Q1900201	b'Mark L. De Motte'
Q1900355	b'Mark Pocan'
Q1900398	b'Mark S. Brewer'
Q1900500	b'Mark W. Hannaford'
Q190058	b'Marguerite de Navarre'
Q190076	b'Joe Cocker'
Q19008	b'Arthur Balfour'
Q190094	b'Allen Iverson'
Q1901383	b'Francesca Vanthielen'
Q190142	b'Gilberto Silva'
Q190162	b'Zoe Saldana'
Q190231	b'Adam Lambert'
Q1903625	b'Martin Dies Jr.'
Q190386	b'Rachel McAdams'
Q1904150	b'Martin Jenkins Crawford'
Q19041	b'Dani G\xc3\xbciza'
Q1904628	b'Martin My\xc5\xa1i\xc4\x8dka'
Q1905112	b'Hans Hirschfeld'
Q190515	b'Craig Bellamy'
Q190519	b'Felicity Huffman'
Q19051	b'Mame Biram Diouf'
Q1905282	b'Martin Witherspoon Gary'
Q190572	b'Vicente Fox'
Q190628	b'Barbara Bush'
Q190631	b'Bette Midler'
Q1907604	b'Massey Lopes'
Q1907847	b'Master Vithal'
Q1907	b'Hugo Lloris'
Q190884	b'Viktor Chernomyrdin'
Q1909268	b'Matt Salmon'
Q190929	b'Maxi Rodr\xc3\xadguez'
Q1909566	b'Matthew Lyon'
Q1909574	b'Matthew Moorhouse'
Q1909694	b'Matthias Aulike'
Q191014	b'Isabel Mart\xc3\xadnez de Per\xc3\xb3n'
Q191027	b'Patricia Neal'
Q191039	b'Germanicus'
Q191045	b'Felipe VI of Spain'
Q191060	b'Manuel Zelaya'
Q191088	b'Joe Jonas'
Q191103	b'Lucrezia Borgia'
Q191104	b'Sean Bean'
Q191123	b'Levi Eshkol'
Q191132	b'Harvey Keitel'
Q191136	b'James Milner'
Q191138	b'Shunsuke Nakamura'
Q191151	b'Alberto Aquilani'
Q191162	b'Emile Heskey'
Q1911	b'Olivier Giroud'
Q1912	b'Karim Benzema'
Q191337	b'Ferenc Gyurcs\xc3\xa1ny'
Q1913471	b'Max Simonischek'
Q191375	b'Sheikh Mujibur Rahman'
Q1914355	b'May Blood, Baroness Blood'
Q191455	b'Shapur I'
Q191479	b'Tadeusz Ko\xc5\x9bciuszko'
Q19152	b'Szeto Wah'
Q191530	b'Abdullah \xc3\x96calan'
Q19155	b'Henry Fonda'
Q1915	b'Laurent Koscielny'
Q191634	b'Luiz Felipe Scolari'
Q1916843	b'James M. Robinson'
Q1916	b'Patrice Evra'
Q191719	b'Zooey Deschanel'
Q191755	b'Jim Jarmusch'
Q191789	b'Martha Washington'
Q191798	b'Georges-Eug\xc3\xa8ne Haussmann'
Q1917	b'Philippe Mex\xc3\xa8s'
Q1918340	b'Lodewijk Thomson'
Q191842	b'Jesse McCartney'
Q191848	b'Khalid Boulahrouz'
Q191855	b'Gareth Barry'
Q191885	b'Thiago Motta'
Q1918	b'Franck Rib\xc3\xa9ry'
Q19190	b'Rupert Grint'
Q191956	b'Majorian'
Q191957	b'Ignacy Jan Paderewski'
Q191966	b'Gene Wilder'
Q191974	b'Raymond Poincar\xc3\xa9'
Q1919762	b'Melville Bull'
Q1919790	b'Melvin O. McLaughlin'
Q19198	b'Chester Bennington'
Q191999	b'Robert McNamara'
Q1919	b'Mathieu Valbuena'
Q192021	b'Simon Baker'
Q1920	b'Samir Nasri'
Q192111	b'Yun Chi-ho'
Q192122	b'Esteban Cambiasso'
Q192165	b'Danny Glover'
Q1921674	b'Meridel Le Sueur'
Q19216	b'Ma Ying-jeou'
Q19217	b'Carrie Lam'
Q1921926	b'Antoine Christophe Merlin'
Q1921	b'Blaise Matuidi'
Q1922032	b'Merrill Moores'
Q192245	b'Susan B. Anthony'
Q19225	b'John Tsang'
Q192278	b'Pancho Villa'
Q192374	b'Marsilio Ficino'
Q192377	b'Jo\xc3\xa3o Figueiredo'
Q1923	b'J\xc3\xa9r\xc3\xa9my M\xc3\xa9nez'
Q192410	b'Jennifer Hudson'
Q192428	b'\xc3\x89tienne Geoffroy Saint-Hilaire'
Q19244	b'Amenemhat III'
Q1924847	b'Margot Robbie'
Q192491	b'Olof Mellberg'
Q1925006	b'Rob Oudkerk'
Q1925	b"Yann M'Vila"
Q192615	b'Ferdinand Foch'
Q192634	b'B\xc3\xbclent Ecevit'
Q192635	b'Ronald Koeman'
Q192643	b'Aaron Eckhart'
Q1926624	b'Tiina Rosenberg'
Q192667	b'Manuel Noriega'
Q192668	b'Nick Cave'
Q1926743	b'Michael Aastrup Jensen'
Q192682	b'Ryan Reynolds'
Q1926889	b'Michael Badnarik'
Q192707	b'Charles Barkley'
Q192747	b'Shaun Wright-Phillips'
Q192780	b'Abdullah I of Jordan'
Q192818	b'Bettino Craxi'
Q1928195	b'Michael Kidd'
Q192856	b'Emmanuel Ebou\xc3\xa9'
Q1928589	b'Michael McMahon'
Q192887	b'Alexis Bledel'
Q192894	b'Miguel Primo de Rivera'
Q1928	b'Hatem Ben Arfa'
Q192912	b'Stephen Fry'
Q192913	b'Martin \xc5\xa0krtel'
Q192943	b'Catherine Parr'
Q192965	b'Juan Rom\xc3\xa1n Riquelme'
Q192986	b'John Carew'
Q192	b'David Cameron'
Q193000	b'Bruno Alves'
Q1930014	b'Michaela Caspar'
Q193052	b'Pau Gasol'
Q193062	b'Ra\xc3\xbal Alfons\xc3\xadn'
Q1930683	b'Michel Chamillart'
Q1930688	b'Michel Chevalier'
Q193070	b'Matt Dillon'
Q193108	b'Tony Parker'
Q193146	b'Anthony Perkins'
Q193156	b'Ralph Nader'
Q1931	b'C\xc3\xa9dric Carrasso'
Q193236	b"Gabriele D'Annunzio"
Q193278	b'Lee Van Cleef'
Q1932905	b'Mijanou Bardot'
Q1933364	b'Mike Montgomery'
Q1933533	b'Mike Starink'
Q19335351	b'Irataba'
Q193354	b'Aslan Maskhadov'
Q193361	b'Carlos Moy\xc3\xa1'
Q193397	b'Steve Vai'
Q1933	b'Anja P\xc3\xa4rson'
Q193426	b'Nancy Reagan'
Q193458	b'Sienna Miller'
Q1934639	b'Jean Antoine Ernest Constans'
Q1934641	b'Miles Crowley'
Q193482	b'Neve Campbell'
Q193488	b'Steven Pienaar'
Q193492	b'Daniel arap Moi'
Q193504	b'Vincent Cassel'
Q193506	b'Cato the Younger'
Q193509	b'Taylor Momsen'
Q193513	b'Jensen Ackles'
Q193517	b'Emily Blunt'
Q1935849	b'Milton A. Candler'
Q1935893	b'Milton J. Daniels'
Q1935895	b'Milton J. Durham'
Q1935903	b'Milton Caniff'
Q19359506	b'Thea Muldoon'
Q193608	b'Carl Sandburg'
Q193637	b'Scottie Pippen'
Q193668	b'Benicio del Toro'
Q193678	b'Olybrius'
Q1936892	b'Jaap van Praag'
Q193702	b'Walter Samuel'
Q193703	b'Gabrielle Giffords'
Q193706	b'David Luiz'
Q1937309	b'Richard the Pilgrim'
Q193768	b'Sulley Muntari'
Q1937877	b'Thomas West, 3rd Baron De La Warr'
Q193815	b'Ryan Gosling'
Q1938388	b'Miriam'
Q1938630	b'Niko Koffeman'
Q1938743	b'Paulus Verschuur'
Q193876	b'Bradley Wiggins'
Q1938842	b'Adriaan van Hees'
Q1938	b'Bacary Sagna'
Q1939878	b'Mathias De Clercq'
Q1940	b'Andr\xc3\xa9-Pierre Gignac'
Q194161	b'Aung San'
Q194220	b'Nas'
Q194280	b'Hugh Hefner'
Q1943275	b'Susan Seaforth Hayes'
Q194419	b'Richard Branson'
Q194439	b'Marcos Senna'
Q1944545	b'John Jorritsma'
Q1945210	b'Monroe Palmer, Baron Palmer of Childs Hill'
Q194579	b'Lucas Ocampos'
Q1945833	b'Laurens Pieter van de Spiegel'
Q1946341	b'Josef van Schaik'
Q194705	b'Barbara Gordon'
Q194711	b'Green Berry Samuels'
Q194757	b'Sally Greengross, Baroness Greengross'
Q194762	b'Neile Adams'
Q194798	b'Daesung'
Q194808	b'Sarah'
Q1948788	b'Adriaan Engelvaart'
Q1949208	b'Moses Kinkaid'
Q1949353	b'Aleksei Badayev'
Q194997	b'Izabella Teixeira'
Q195013	b'Nancy Astor, Viscountess Astor'
Q19504	b'Fritz Lang'
Q1951178	b'Hans Kolfschoten'
Q1951401	b'Kristof Konrad'
Q1951892	b'Mohammed ash-Sheikh'
Q1951896	b'Mohammed bin Zayed Al Nahyan'
Q19526	b'Maya Angelou'
Q1953730	b'Muriel Turner, Baroness Turner of Camden'
Q195390	b'Alexander Berkman'
Q195401	b'Judith Merkies'
Q1954200	b'Joram van Klaveren'
Q195443	b'Theodoric II'
Q19546	b'Pope'
Q19560609	b'Thomas Greenall'
Q19561106	b'Theresa Kufuor'
Q1956266	b'Mvume Dandala'
Q1956360	b'Nariman Narimanov'
Q1956741	b'Porfirio Mu\xc3\xb1oz Ledo'
Q195682	b'Jeffrey Bruma'
Q195689	b'Tam\xc3\xa1s K\xc3\xa1d\xc3\xa1r'
Q1956990	b'Fred Polak'
Q1956	b'Hermann Maier'
Q195718	b'Kristin Kreuk'
Q195725	b'William Ruto'
Q195768	b'Constance Markievicz'
Q1957965	b'Mykola Tomenko'
Q1958500	b'Vyacheslav Pozgalyov'
Q1958666	b'Zinaida Portnova'
Q195878	b'Emanuele Giaccherini'
Q1958936	b'Nine Kooiman'
Q1960080	b'Xiang Ying'
Q1960107	b'Angelien Eijsink'
Q1960567	b'Jos\xc3\xa9 Canga Arg\xc3\xbcelles'
